Years,Experience,Salary,Experience_Level
1,1.0,39343,Beginner
1,3.0,46205,Intermediate
1,5.0,37731,Intermediate
2,0.0,43525,Beginner
2,2.0,39891,Beginner
2,9.0,56642,Expert
3,0.0,60150,Beginner
3,2.0,54445,Beginner
3,2.0,64445,Beginner
3,7.0,57189,Expert
4,0.0,63218,Beginner
4,5.0,67781,Intermediate
4,9.0,66029,Expert
5,1.0,83088,Beginner
5,3.0,81363,Intermediate
5,9.0,93940,Expert
6,0.0,91738,Beginner
6,8.0,112635,Expert
7,1.0,109431,Beginner
7,9.0,105582,Expert
8,2.0,116969,Beginner
8,7.0,112635,Expert
9,0.0,122391,Beginner
9,5.0,121872,Intermediate
9,6.0,127345,Expert
10,3.0,129000,Intermediate
10,5.0,131000,Intermediate
